antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,rule_str,algorithm
"CARD_brand_visa, PROD_C",FRAUD,0.06932,0.03586,0.00848,0.12233121754183496,3.4113557596719173,1.0,0.0059941848,1.0985237475345166,0.7595106965813595,0.08769389865563598,0.089687407992444,0.17940319940114613,CARD_brand_visa + PROD_C  →  FRAUD,Apriori
DEVICE_type_mobile,"CARD_type_credit, FRAUD",0.09272,0.01762,0.0055,0.0593183779119931,3.366536771395749,1.0,0.0038662735999999997,1.0443278330658106,0.7747981178507587,0.05246089278901183,0.042446281390086424,0.18573183367790347,DEVICE_type_mobile  →  CARD_type_credit + FRAUD,Apriori
"DIST1_veryclose, PROD_C",FRAUD,0.1166,0.03586,0.01386,0.1188679245283019,3.314777594208084,1.0,0.009678724,1.0942059957173447,0.7904920024005376,0.10000000000000002,0.08609530206017996,0.2526854960064822,DIST1_veryclose + PROD_C  →  FRAUD,Apriori
"DIST2_q1, PROD_C",FRAUD,0.1166,0.03586,0.01386,0.1188679245283019,3.314777594208084,1.0,0.009678724,1.0942059957173447,0.7904920024005376,0.10000000000000002,0.08609530206017996,0.2526854960064822,DIST2_q1 + PROD_C  →  FRAUD,Apriori
PROD_C,"DIST2_q1, FRAUD",0.1166,0.03586,0.01386,0.1188679245283019,3.314777594208084,1.0,0.009678724,1.0942059957173447,0.7904920024005376,0.10000000000000002,0.08609530206017996,0.2526854960064822,PROD_C  →  DIST2_q1 + FRAUD,Apriori
PROD_C,FRAUD,0.1166,0.03586,0.01386,0.1188679245283019,3.314777594208084,1.0,0.009678724,1.0942059957173447,0.7904920024005376,0.10000000000000002,0.08609530206017996,0.2526854960064822,PROD_C  →  FRAUD,Apriori
DEVICE_type_mobile,"EMAIL_webmail, FRAUD",0.09272,0.02582,0.00786,0.08477135461604833,3.283166329049122,1.0,0.0054659696,1.0644116144237568,0.7664844145619499,0.07101554029634985,0.0605138214868385,0.19459326832274146,DEVICE_type_mobile  →  EMAIL_webmail + FRAUD,Apriori
DEVICE_info_Windows,"DEVICE_type_desktop, FRAUD",0.0825,0.01026,0.00544,0.06593939393939394,6.426841514560812,1.0,0.00459355,1.0596100441214638,0.9203297804135278,0.062299587723316535,0.05625658651705897,0.29807690944533055,DEVICE_info_Windows  →  DEVICE_type_desktop + FRAUD,FP-Growth
PROD_C,"AMT_micro, FRAUD",0.1166,0.01256,0.00908,0.07787307032590052,6.200085217030296,1.0,0.0076155039999999995,1.0708287202380953,0.9494135094782972,0.07561625582944703,0.0661438369175854,0.4004015033158165,PROD_C  →  AMT_micro + FRAUD,FP-Growth
PROD_C,"DEVICE_type_desktop, FRAUD",0.1166,0.01026,0.00712,0.06106346483704974,5.951604759946369,1.0,0.005923683999999999,1.054107453416149,0.9417909099928011,0.05946216803073325,0.0513301117839531,0.37751028992339813,PROD_C  →  DEVICE_type_desktop + FRAUD,FP-Growth
